Condition,Clock Time,Experiment Time
N,1693234849.664638,663.7051169872284
G,1693234853.685641,667.7261199951172
C,1693234857.706194,671.7466728687286
G,1693234861.7215428,675.762021780014
N,1693234865.7418308,679.7823097705841
C,1693234869.761249,683.8017280101776
N,1693234873.776045,687.8165240287781
G,1693234877.794475,691.8349540233612
C,1693234881.825245,695.8657238483429
G,1693234885.852134,699.8926129341125
N,1693234889.874431,703.9149098396301
C,1693234893.9049652,707.9454441070557
N,1693234897.926176,711.9666550159454
C,1693234901.9567502,715.9972290992737
G,1693234905.987492,720.0279710292816
N,1693234910.015659,724.0561380386353
G,1693234914.042082,728.0825610160828
C,1693234918.072698,732.1131770610809
N,1693234922.094569,736.1350479125977
C,1693234926.125049,740.1655280590057
G,1693234930.141369,744.1818480491638
N,1693234934.1688871,748.2093660831451
G,1693234938.190746,752.2312250137329
C,1693234942.221217,756.2616958618164
N,1693234946.2464058,760.2868847846985
G,1693234950.27054,764.3110189437866
C,1693234954.297151,768.337630033493
N,1693234958.3275478,772.3680267333984
G,1693234962.3581219,776.3986008167267
C,1693234966.387437,780.4279160499573
N,1693234970.417322,784.4578008651733
C,1693234974.444875,788.4853539466858
G,1693234978.467804,792.5082828998566
N,1693234982.4908018,796.5312807559967
C,1693234986.5112908,800.551769733429
G,1693234990.5365791,804.5770580768585
N,1693234994.566057,808.6065359115601
G,1693234998.5790038,812.619482755661
C,1693235002.6091032,816.6495821475983
N,1693235006.637866,820.6783449649811
C,1693235010.662317,824.7027959823608
G,1693235014.6803992,828.7208781242371
C,1693235018.708398,832.7488770484924
N,1693235022.7389219,836.7794008255005
G,1693235026.751059,840.7915380001068
C,1693235030.775369,844.8158478736877
N,1693235034.80591,848.8463890552521
G,1693235038.830401,852.8708798885345
C,1693235042.8486452,856.8891241550446
G,1693235046.879186,860.9196648597717
N,1693235050.900782,864.9412610530853
C,1693235054.928396,868.9688749313354
G,1693235058.954727,872.9952058792114
N,1693235062.972445,877.0129239559174
C,1693235066.992853,881.0333318710327
G,1693235071.0205922,885.0610711574554
N,1693235075.045047,889.0855259895325
G,1693235079.068417,893.1088960170746
C,1693235083.082983,897.1234619617462
N,1693235087.104846,901.1453249454498
C,1693235091.1246872,905.1651661396027
N,1693235095.147244,909.1877229213715
G,1693235099.177558,913.2180368900299
N,1693235103.2041652,917.2446441650391
C,1693235107.234773,921.275251865387
G,1693235111.252602,925.2930810451508
N,1693235115.282434,929.3229129314423
C,1693235119.306862,933.3473410606384
G,1693235123.328328,937.3688068389893
C,1693235127.356949,941.3974280357361
N,1693235131.3757389,945.4162178039551
G,1693235135.4035919,949.44407081604
N,1693235139.430295,953.470773935318
G,1693235143.461076,957.5015549659729
C,1693235147.486228,961.5267069339752
G,1693235151.506527,965.5470058917999
C,1693235155.534152,969.5746309757233
N,1693235159.5587149,973.5991938114166
C,1693235163.5818088,977.6222877502441
G,1693235167.610938,981.651417016983
N,1693235171.632044,985.672523021698
G,1693235175.6483462,989.6888251304626
C,1693235179.6790102,993.7194890975952
N,1693235183.6966872,997.7371661663055
G,1693235187.7222369,1001.7627158164978
N,1693235191.743099,1005.7835779190063
C,1693235195.771826,1009.8123049736023
G,1693235199.802114,1013.8425929546356
C,1693235203.829023,1017.8695018291473
N,1693235207.85647,1021.8969490528107
